check_id,release,stage,section,entity,metric,expected,actual,unit,difference,status,method,source_document,source_page,source_url,notes,release_gate
N0238,FY 2025-26,adopted,Department rows,Adrienne Arsht Center for the Performing Arts Trust — Recreation & Culture,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0239,FY 2025-26,adopted,Department rows,Adrienne Arsht Center for the Performing Arts Trust — Recreation & Culture,total budget,1455800000,1455800000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0240,FY 2025-26,adopted,Department rows,Perez Art Museum Miami — Recreation & Culture,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0241,FY 2025-26,adopted,Department rows,Perez Art Museum Miami — Recreation & Culture,operating budget,400000000,400000000,cents,0,PASS,fresh appendix extraction → database,Appendix C,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0242,FY 2025-26,adopted,Department rows,Perez Art Museum Miami — Recreation & Culture,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0243,FY 2025-26,adopted,Department rows,Perez Art Museum Miami — Recreation & Culture,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0244,FY 2025-26,adopted,Department rows,Perez Art Museum Miami — Recreation & Culture,total budget,400000000,400000000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0245,FY 2025-26,adopted,Department rows,HistoryMiami — Recreation & Culture,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0246,FY 2025-26,adopted,Department rows,HistoryMiami — Recreation & Culture,operating budget,400000000,400000000,cents,0,PASS,fresh appendix extraction → database,Appendix C,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0247,FY 2025-26,adopted,Department rows,HistoryMiami — Recreation & Culture,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0248,FY 2025-26,adopted,Department rows,HistoryMiami — Recreation & Culture,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0249,FY 2025-26,adopted,Department rows,HistoryMiami — Recreation & Culture,total budget,400000000,400000000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0250,FY 2025-26,adopted,Department rows,Vizcaya Museum and Gardens — Recreation & Culture,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0251,FY 2025-26,adopted,Department rows,Vizcaya Museum and Gardens — Recreation & Culture,operating budget,400000000,400000000,cents,0,PASS,fresh appendix extraction → database,Appendix C,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0252,FY 2025-26,adopted,Department rows,Vizcaya Museum and Gardens — Recreation & Culture,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0253,FY 2025-26,adopted,Department rows,Vizcaya Museum and Gardens — Recreation & Culture,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0254,FY 2025-26,adopted,Department rows,Vizcaya Museum and Gardens — Recreation & Culture,total budget,400000000,400000000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0255,FY 2025-26,adopted,Department rows,Non-Departmental — Recreation & Culture,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"6, 9",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0256,FY 2025-26,adopted,Department rows,Non-Departmental — Recreation & Culture,operating budget,127500000,127500000,cents,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0257,FY 2025-26,adopted,Department rows,Non-Departmental — Recreation & Culture,capital budget,1165100000,1165100000,cents,0,PASS,fresh appendix extraction → database,Appendix J,6,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0258,FY 2025-26,adopted,Department rows,Non-Departmental — Recreation & Culture,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0259,FY 2025-26,adopted,Department rows,Non-Departmental — Recreation & Culture,total budget,1292600000,1292600000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"6, 9",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0260,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Recreation & Culture,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0261,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Recreation & Culture,operating budget,465500000,465500000,cents,0,PASS,fresh appendix extraction → database,Appendix C,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0262,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Recreation & Culture,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0263,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Recreation & Culture,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0264,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Recreation & Culture,total budget,465500000,465500000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0265,FY 2025-26,adopted,Department rows,Transportation and Public Works — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"10, 11",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0266,FY 2025-26,adopted,Department rows,Transportation and Public Works — Neighborhood & Infrastructure,operating budget,7064700000,7064700000,cents,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0267,FY 2025-26,adopted,Department rows,Transportation and Public Works — Neighborhood & Infrastructure,capital budget,14589200000,14589200000,cents,0,PASS,fresh appendix extraction → database,Appendix J,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0268,FY 2025-26,adopted,Department rows,Transportation and Public Works — Neighborhood & Infrastructure,funded positions,302,302,positions,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0269,FY 2025-26,adopted,Department rows,Transportation and Public Works — Neighborhood & Infrastructure,total budget,21653900000,21653900000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"10, 11",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0270,FY 2025-26,adopted,Department rows,"Parks, Recreation and Open Spaces — Neighborhood & Infrastructure",source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0271,FY 2025-26,adopted,Department rows,"Parks, Recreation and Open Spaces — Neighborhood & Infrastructure",operating budget,8460800000,8460800000,cents,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0272,FY 2025-26,adopted,Department rows,"Parks, Recreation and Open Spaces — Neighborhood & Infrastructure",capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0273,FY 2025-26,adopted,Department rows,"Parks, Recreation and Open Spaces — Neighborhood & Infrastructure",funded positions,305,305,positions,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0274,FY 2025-26,adopted,Department rows,"Parks, Recreation and Open Spaces — Neighborhood & Infrastructure",total budget,8460800000,8460800000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0275,FY 2025-26,adopted,Department rows,Animal Services — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"7, 9",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0276,FY 2025-26,adopted,Department rows,Animal Services — Neighborhood & Infrastructure,operating budget,4345900000,4345900000,cents,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0277,FY 2025-26,adopted,Department rows,Animal Services — Neighborhood & Infrastructure,capital budget,102800000,102800000,cents,0,PASS,fresh appendix extraction → database,Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0278,FY 2025-26,adopted,Department rows,Animal Services — Neighborhood & Infrastructure,funded positions,304,304,positions,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0279,FY 2025-26,adopted,Department rows,Animal Services — Neighborhood & Infrastructure,total budget,4448700000,4448700000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"7, 9",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0280,FY 2025-26,adopted,Department rows,Environmental Resources Management — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"11, 7",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0281,FY 2025-26,adopted,Department rows,Environmental Resources Management — Neighborhood & Infrastructure,operating budget,7194600000,7194600000,cents,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0282,FY 2025-26,adopted,Department rows,Environmental Resources Management — Neighborhood & Infrastructure,capital budget,3804000000,3804000000,cents,0,PASS,fresh appendix extraction → database,Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0283,FY 2025-26,adopted,Department rows,Environmental Resources Management — Neighborhood & Infrastructure,funded positions,279,279,positions,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0284,FY 2025-26,adopted,Department rows,Environmental Resources Management — Neighborhood & Infrastructure,total budget,10998600000,10998600000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"11, 7",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0285,FY 2025-26,adopted,Department rows,Solid Waste Management — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"10, 11",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0286,FY 2025-26,adopted,Department rows,Solid Waste Management — Neighborhood & Infrastructure,operating budget,44534300000,44534300000,cents,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0287,FY 2025-26,adopted,Department rows,Solid Waste Management — Neighborhood & Infrastructure,capital budget,4311100000,4311100000,cents,0,PASS,fresh appendix extraction → database,Appendix J,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0288,FY 2025-26,adopted,Department rows,Solid Waste Management — Neighborhood & Infrastructure,funded positions,1172,1172,positions,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0289,FY 2025-26,adopted,Department rows,Solid Waste Management — Neighborhood & Infrastructure,total budget,48845400000,48845400000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"10, 11",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0290,FY 2025-26,adopted,Department rows,Water and Sewer — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"10, 12",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0291,FY 2025-26,adopted,Department rows,Water and Sewer — Neighborhood & Infrastructure,operating budget,86085900000,86085900000,cents,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0292,FY 2025-26,adopted,Department rows,Water and Sewer — Neighborhood & Infrastructure,capital budget,78998500000,78998500000,cents,0,PASS,fresh appendix extraction → database,Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0293,FY 2025-26,adopted,Department rows,Water and Sewer — Neighborhood & Infrastructure,funded positions,3068,3068,positions,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0294,FY 2025-26,adopted,Department rows,Water and Sewer — Neighborhood & Infrastructure,total budget,165084400000,165084400000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"10, 12",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0295,FY 2025-26,adopted,Department rows,Regulatory and Economic Resources — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"8, 9",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0296,FY 2025-26,adopted,Department rows,Regulatory and Economic Resources — Neighborhood & Infrastructure,operating budget,20027800000,20027800000,cents,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0297,FY 2025-26,adopted,Department rows,Regulatory and Economic Resources — Neighborhood & Infrastructure,capital budget,324200000,324200000,cents,0,PASS,fresh appendix extraction → database,Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0298,FY 2025-26,adopted,Department rows,Regulatory and Economic Resources — Neighborhood & Infrastructure,funded positions,1048,1048,positions,0,PASS,fresh appendix extraction → database,Appendix C,9,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0299,FY 2025-26,adopted,Department rows,Regulatory and Economic Resources — Neighborhood & Infrastructure,total budget,20352000000,20352000000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"8, 9",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0300,FY 2025-26,adopted,Department rows,People and Internal Operations — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0301,FY 2025-26,adopted,Department rows,People and Internal Operations — Neighborhood & Infrastructure,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0302,FY 2025-26,adopted,Department rows,People and Internal Operations — Neighborhood & Infrastructure,capital budget,3221600000,3221600000,cents,0,PASS,fresh appendix extraction → database,Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0303,FY 2025-26,adopted,Department rows,People and Internal Operations — Neighborhood & Infrastructure,total budget,3221600000,3221600000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,7,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0304,FY 2025-26,adopted,Department rows,Non-Departmental — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"11, 8",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0305,FY 2025-26,adopted,Department rows,Non-Departmental — Neighborhood & Infrastructure,operating budget,78000000,78000000,cents,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0306,FY 2025-26,adopted,Department rows,Non-Departmental — Neighborhood & Infrastructure,capital budget,7931400000,7931400000,cents,0,PASS,fresh appendix extraction → database,Appendix J,8,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0307,FY 2025-26,adopted,Department rows,Non-Departmental — Neighborhood & Infrastructure,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0308,FY 2025-26,adopted,Department rows,Non-Departmental — Neighborhood & Infrastructure,total budget,8009400000,8009400000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"11, 8",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0309,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Neighborhood & Infrastructure,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0310,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Neighborhood & Infrastructure,operating budget,3011800000,3011800000,cents,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0311,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Neighborhood & Infrastructure,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0312,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Neighborhood & Infrastructure,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0313,FY 2025-26,adopted,Department rows,General Government Improvement Fund — Neighborhood & Infrastructure,total budget,3011800000,3011800000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,10,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0314,FY 2025-26,adopted,Department rows,Corrections and Rehabilitation — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0315,FY 2025-26,adopted,Department rows,Corrections and Rehabilitation — Health & Society,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0316,FY 2025-26,adopted,Department rows,Corrections and Rehabilitation — Health & Society,capital budget,1000000000,1000000000,cents,0,PASS,fresh appendix extraction → database,Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0317,FY 2025-26,adopted,Department rows,Corrections and Rehabilitation — Health & Society,total budget,1000000000,1000000000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0318,FY 2025-26,adopted,Department rows,Community Services Department — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"11, 12",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0319,FY 2025-26,adopted,Department rows,Community Services Department — Health & Society,operating budget,18591100000,18591100000,cents,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0320,FY 2025-26,adopted,Department rows,Community Services Department — Health & Society,capital budget,951800000,951800000,cents,0,PASS,fresh appendix extraction → database,Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0321,FY 2025-26,adopted,Department rows,Community Services Department — Health & Society,funded positions,628,628,positions,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0322,FY 2025-26,adopted,Department rows,Community Services Department — Health & Society,total budget,19542900000,19542900000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"11, 12",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0323,FY 2025-26,adopted,Department rows,Homeless Trust — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"11, 13",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0324,FY 2025-26,adopted,Department rows,Homeless Trust — Health & Society,operating budget,10502500000,10502500000,cents,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0325,FY 2025-26,adopted,Department rows,Homeless Trust — Health & Society,capital budget,2014900000,2014900000,cents,0,PASS,fresh appendix extraction → database,Appendix J,13,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0326,FY 2025-26,adopted,Department rows,Homeless Trust — Health & Society,funded positions,29,29,positions,0,PASS,fresh appendix extraction → database,Appendix C,11,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0327,FY 2025-26,adopted,Department rows,Homeless Trust — Health & Society,total budget,12517400000,12517400000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"11, 13",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0328,FY 2025-26,adopted,Department rows,Housing and Community Development — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"12, 13",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0329,FY 2025-26,adopted,Department rows,Housing and Community Development — Health & Society,operating budget,13216900000,13216900000,cents,0,PASS,fresh appendix extraction → database,Appendix C,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0330,FY 2025-26,adopted,Department rows,Housing and Community Development — Health & Society,capital budget,2665500000,2665500000,cents,0,PASS,fresh appendix extraction → database,Appendix J,13,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0331,FY 2025-26,adopted,Department rows,Housing and Community Development — Health & Society,funded positions,432,432,positions,0,PASS,fresh appendix extraction → database,Appendix C,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0332,FY 2025-26,adopted,Department rows,Housing and Community Development — Health & Society,total budget,15882400000,15882400000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,"12, 13",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0333,FY 2025-26,adopted,Department rows,Management and Budget — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0334,FY 2025-26,adopted,Department rows,Management and Budget — Health & Society,operating budget,2728400000,2728400000,cents,0,PASS,fresh appendix extraction → database,Appendix C,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0335,FY 2025-26,adopted,Department rows,Management and Budget — Health & Society,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0336,FY 2025-26,adopted,Department rows,Management and Budget — Health & Society,funded positions,13,13,positions,0,PASS,fresh appendix extraction → database,Appendix C,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0337,FY 2025-26,adopted,Department rows,Management and Budget — Health & Society,total budget,2728400000,2728400000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0338,FY 2025-26,adopted,Department rows,People and Internal Operations — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,13,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0339,FY 2025-26,adopted,Department rows,People and Internal Operations — Health & Society,operating budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix C,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0340,FY 2025-26,adopted,Department rows,People and Internal Operations — Health & Society,capital budget,286200000,286200000,cents,0,PASS,fresh appendix extraction → database,Appendix J,13,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0341,FY 2025-26,adopted,Department rows,People and Internal Operations — Health & Society,total budget,286200000,286200000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,13,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0342,FY 2025-26,adopted,Department rows,Jackson Health System — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0343,FY 2025-26,adopted,Department rows,Jackson Health System — Health & Society,operating budget,34907500000,34907500000,cents,0,PASS,fresh appendix extraction → database,Appendix C,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0344,FY 2025-26,adopted,Department rows,Jackson Health System — Health & Society,capital budget,0,0,cents,0,PASS,fresh appendix extraction → database,Appendix J,,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-j.pdf,,True
N0345,FY 2025-26,adopted,Department rows,Jackson Health System — Health & Society,funded positions,0,0,positions,0,PASS,fresh appendix extraction → database,Appendix C,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0346,FY 2025-26,adopted,Department rows,Jackson Health System — Health & Society,total budget,34907500000,34907500000,cents,0,PASS,fresh appendix extraction → database,Appendix C + Appendix J,12,https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
N0347,FY 2025-26,adopted,Department rows,Non-Departmental — Health & Society,source row present,1,1,record,0,PASS,fresh appendix extraction → database,Appendix C / Appendix J,"12, 13",https://www.miamidade.gov/resources/budget/adopted/fy2025-26/appendix-c.pdf,,True
